2025-07-23 04:18:54 | __main__ | INFO | Successfully logging model from registry.
2025-07-23 04:18:54 | __main__ | INFO | Loading stock data at 2025-07-22 for 6 stocks.
2025-07-23 04:18:58 | __main__ | INFO | Exported AAPL data to data/inference/raw/AAPL.csv
2025-07-23 04:18:58 | __main__ | INFO | Exported GOOGL data to data/inference/raw/GOOGL.csv
2025-07-23 04:18:58 | __main__ | INFO | Exported MSFT data to data/inference/raw/MSFT.csv
2025-07-23 04:18:58 | __main__ | INFO | Exported NVDA data to data/inference/raw/NVDA.csv
2025-07-23 04:18:58 | __main__ | INFO | Exported AMZN data to data/inference/raw/AMZN.csv
2025-07-23 04:18:58 | __main__ | INFO | Exported META data to data/inference/raw/META.csv
2025-07-23 04:18:59 | __main__ | INFO | Successfully export inference data.
2025-07-23 04:18:59 | __main__ | INFO | Prediction saved at data/inference/prediction/latest.csv
2025-07-23 04:18:59 | __main__ | INFO | Inference Flow completed successfully.
2025-07-23 10:09:03 | __main__ | INFO | Starting data preparation flow...
2025-07-23 10:09:03 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-23 for 6 stocks.
2025-07-23 10:09:08 | __main__ | INFO | Uploaded AAPL data to S3: data/train/raw/AAPL.csv
2025-07-23 10:09:09 | __main__ | INFO | Uploaded GOOGL data to S3: data/train/raw/GOOGL.csv
2025-07-23 10:09:09 | __main__ | INFO | Uploaded MSFT data to S3: data/train/raw/MSFT.csv
2025-07-23 10:09:10 | __main__ | INFO | Uploaded NVDA data to S3: data/train/raw/NVDA.csv
2025-07-23 10:09:10 | __main__ | INFO | Uploaded AMZN data to S3: data/train/raw/AMZN.csv
2025-07-23 10:09:11 | __main__ | INFO | Uploaded META data to S3: data/train/raw/META.csv
2025-07-23 10:09:12 | __main__ | INFO | Uploaded processed train/test sets to S3
2025-07-23 10:09:13 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-23 10:35:57 | __main__ | INFO | Successfully downloaded train and test df from S3 Bucket.
2025-07-23 10:36:03 | __main__ | INFO | Starting Optuna optimization with 20 trials...
2025-07-23 10:37:06 | __main__ | INFO | Optuna optimization completed.
2025-07-23 10:37:06 | __main__ | INFO | Training complete - RMSE on test set: 5.9777
2025-07-23 10:44:08 | __main__ | INFO | Searching for best model in experiment: stock_price_prediction
2025-07-23 10:44:08 | __main__ | INFO | Registering best model from run_id=2a79263ebd344ed5b481b4d9685d12c9 with RMSE=5.9266
2025-07-23 10:44:09 | __main__ | INFO | Model registered: name=stock-ema-model, version=5
2025-07-23 10:52:53 | __main__ | INFO | Starting data preparation flow...
2025-07-23 10:52:53 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-23 for 6 stocks.
2025-07-23 10:52:58 | __main__ | INFO | Uploaded AAPL data to S3: data/train/raw/AAPL.csv
2025-07-23 10:52:58 | __main__ | INFO | Uploaded GOOGL data to S3: data/train/raw/GOOGL.csv
2025-07-23 10:52:59 | __main__ | INFO | Uploaded MSFT data to S3: data/train/raw/MSFT.csv
2025-07-23 10:52:59 | __main__ | INFO | Uploaded NVDA data to S3: data/train/raw/NVDA.csv
2025-07-23 10:53:00 | __main__ | INFO | Uploaded AMZN data to S3: data/train/raw/AMZN.csv
2025-07-23 10:53:01 | __main__ | INFO | Uploaded META data to S3: data/train/raw/META.csv
2025-07-23 10:53:02 | __main__ | INFO | Uploaded processed train/test sets to S3
2025-07-23 10:53:03 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-23 13:57:11 | __main__ | INFO | Successfully downloaded train and test df from S3 Bucket.
2025-07-23 13:57:20 | __main__ | INFO | Starting Optuna optimization with 20 trials...
2025-07-23 14:01:27 | __main__ | INFO | Optuna optimization completed.
2025-07-23 14:01:27 | __main__ | INFO | Training complete - RMSE on test set: 6.0733
2025-07-23 14:09:24 | __main__ | INFO | Searching for best model in experiment: stock_price_prediction
2025-07-23 14:09:24 | __main__ | INFO | Registering best model from run_id=2a79263ebd344ed5b481b4d9685d12c9 with RMSE=5.9266
2025-07-23 14:09:24 | __main__ | INFO | Model registered: name=stock-ema-model, version=6
2025-07-23 14:11:21 | __main__ | INFO | Searching for best model in experiment: stock_price_prediction
2025-07-23 14:11:22 | __main__ | INFO | Registering best model from run_id=09519101c46943579e256da668106f6d with RMSE=6.0733
2025-07-23 14:11:33 | __main__ | INFO | Model registered: name=stock-ema-model, version=1
2025-07-23 14:13:18 | __main__ | INFO | Successfully logging model from registry.
2025-07-23 14:13:19 | __main__ | INFO | Loading stock data at 2025-07-22 for 6 stocks.
2025-07-23 14:13:23 | __main__ | INFO | Uploaded AAPL data to S3: data/inference/raw/AAPL.csv
2025-07-23 14:13:24 | __main__ | INFO | Uploaded GOOGL data to S3: data/inference/raw/GOOGL.csv
2025-07-23 14:13:25 | __main__ | INFO | Uploaded MSFT data to S3: data/inference/raw/MSFT.csv
2025-07-23 14:13:25 | __main__ | INFO | Uploaded NVDA data to S3: data/inference/raw/NVDA.csv
2025-07-23 14:13:26 | __main__ | INFO | Uploaded AMZN data to S3: data/inference/raw/AMZN.csv
2025-07-23 14:13:27 | __main__ | INFO | Uploaded META data to S3: data/inference/raw/META.csv
2025-07-23 14:13:46 | __main__ | INFO | Successfully logging model from registry.
2025-07-23 14:13:47 | __main__ | INFO | Loading stock data at 2025-07-22 for 6 stocks.
2025-07-23 14:13:52 | __main__ | INFO | Uploaded AAPL data to S3: data/inference/raw/AAPL.csv
